 date       | timestamp                       | value
------------+---------------------------------+-------
 2020-04-14 | 2020-04-14 08:12:00.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:12:15.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:12:30.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:12:45.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:13:00.000000+0000 |     8
 2020-04-14 | 2020-04-14 08:13:15.000000+0000 |    11
 2020-04-14 | 2020-04-14 08:13:30.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:13:45.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:14:00.000000+0000 |    19
 2020-04-14 | 2020-04-14 08:14:15.000000+0000 |    25
 2020-04-14 | 2020-04-14 08:14:30.000000+0000 |    29
 2020-04-14 | 2020-04-14 08:14:45.000000+0000 |    21
 2020-04-14 | 2020-04-14 08:15:00.000000+0000 |    59
 2020-04-14 | 2020-04-14 08:15:15.000000+0000 |   153
 2020-04-14 | 2020-04-14 08:15:30.000000+0000 |     7
 2020-04-14 | 2020-04-14 08:15:45.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:16:00.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:16:15.000000+0000 |    11
 2020-04-14 | 2020-04-14 08:16:30.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:16:45.000000+0000 |    11
 2020-04-14 | 2020-04-14 08:17:00.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:17:15.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:17:30.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:17:45.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:18:00.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:18:15.000000+0000 |    24
 2020-04-14 | 2020-04-14 08:18:30.000000+0000 |    26
 2020-04-14 | 2020-04-14 08:18:45.000000+0000 |    28
 2020-04-14 | 2020-04-14 08:19:00.000000+0000 |    23
 2020-04-14 | 2020-04-14 08:19:15.000000+0000 |    93
 2020-04-14 | 2020-04-14 08:19:30.000000+0000 |   111
 2020-04-14 | 2020-04-14 08:19:45.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:20:00.000000+0000 |    11
 2020-04-14 | 2020-04-14 08:20:15.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:20:30.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:20:45.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:21:00.000000+0000 |     8
 2020-04-14 | 2020-04-14 08:21:15.000000+0000 |    11
 2020-04-14 | 2020-04-14 08:21:30.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:21:45.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:22:00.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:22:15.000000+0000 |    13
 2020-04-14 | 2020-04-14 08:22:30.000000+0000 |    24
 2020-04-14 | 2020-04-14 08:22:45.000000+0000 |    25
 2020-04-14 | 2020-04-14 08:23:00.000000+0000 |    26
 2020-04-14 | 2020-04-14 08:23:15.000000+0000 |    40
 2020-04-14 | 2020-04-14 08:23:30.000000+0000 |   129
 2020-04-14 | 2020-04-14 08:23:45.000000+0000 |    58
 2020-04-14 | 2020-04-14 08:24:00.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:24:15.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:24:30.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:24:45.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:25:00.000000+0000 |    11
 2020-04-14 | 2020-04-14 08:25:15.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:25:30.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:25:45.000000+0000 |    11
 2020-04-14 | 2020-04-14 08:26:00.000000+0000 |    11
 2020-04-14 | 2020-04-14 08:26:15.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:26:30.000000+0000 |    15
 2020-04-14 | 2020-04-14 08:26:45.000000+0000 |    25
 2020-04-14 | 2020-04-14 08:27:00.000000+0000 |    22
 2020-04-14 | 2020-04-14 08:27:15.000000+0000 |    22
 2020-04-14 | 2020-04-14 08:27:30.000000+0000 |    26
 2020-04-14 | 2020-04-14 08:27:45.000000+0000 |   102
 2020-04-14 | 2020-04-14 08:28:00.000000+0000 |    99
 2020-04-14 | 2020-04-14 08:28:15.000000+0000 |     8
 2020-04-14 | 2020-04-14 08:28:30.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:28:45.000000+0000 |    11
 2020-04-14 | 2020-04-14 08:29:00.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:29:15.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:29:30.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:29:45.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:30:00.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:30:15.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:30:30.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:30:45.000000+0000 |    12
 2020-04-14 | 2020-04-14 08:31:00.000000+0000 |    25
 2020-04-14 | 2020-04-14 08:31:15.000000+0000 |    26
 2020-04-14 | 2020-04-14 08:31:30.000000+0000 |    24
 2020-04-14 | 2020-04-14 08:31:45.000000+0000 |    33
 2020-04-14 | 2020-04-14 08:32:00.000000+0000 |   112
 2020-04-14 | 2020-04-14 08:32:15.000000+0000 |    84
 2020-04-14 | 2020-04-14 08:32:30.000000+0000 |     8
 2020-04-14 | 2020-04-14 08:32:45.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:33:00.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:33:15.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:33:30.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:33:45.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:34:00.000000+0000 |    10
 2020-04-14 | 2020-04-14 08:34:15.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:34:30.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:34:45.000000+0000 |     9
 2020-04-14 | 2020-04-14 08:35:00.000000+0000 |    11
 2020-04-14 | 2020-04-14 08:35:15.000000+0000 |    22
 2020-04-14 | 2020-04-14 08:35:30.000000+0000 |    24
 2020-04-14 | 2020-04-14 08:35:45.000000+0000 |    25
